sentence,label
What is the weather like today,13
What is the weather like today,13
Where can I find good west indian,5
Find me a place that does thai,1
Which restaurants do chinese food,9
Which restaurants do italian food,4
What is the weather like today,13
What is the weather like today,13
Where can I find good italian,4
Find me a place that does portuguese,10
What is the weather like today,13
Which restaurants do portuguese food,10
Find me a place that does pub,6
I would like some east asian food,7
I would like some sushi food,2
Where can I find good indian,0
What is the weather like today,13
What is the weather like today,13
I would like some spanish food,11
I would like some spanish food,11
Find me a place that does east asian,7
Which restaurants do portuguese food,10
I would like some sushi food,2
What is the weather like today,13
Which restaurants do italian food,4
Which restaurants do east european food,13
Find me a place that does portuguese,10
Which restaurants do east european food,13
Where can I find good west indian,5
Which restaurants do chinese food,9
Which restaurants do spanish food,11
Which restaurants do thai food,1
I would like some east asian food,7
Which restaurants do east european food,13
Which restaurants do sushi food,2
Which restaurants do sushi food,2
Which restaurants do sushi food,2
What is the weather like today,13
Find me a place that does bbq,8
Find me a place that does west indian,5
Which restaurants do italian food,4
Find me a place that does sushi,2
Which restaurants do bbq food,8
What is the weather like today,13
What is the weather like today,13
Which restaurants do east european food,13
I would like some sushi food,2
What is the weather like today,13
Where can I find good caribbean,3
Where can I find good caribbean,3
I would like some french food,12
What is the weather like today,13
Which restaurants do east asian food,7
Find me a place that does caribbean,3
I would like some french food,12
Which restaurants do east european food,13
Which restaurants do french food,12
Where can I find good east european,13
Which restaurants do east asian food,7
Where can I find good chinese,9
Which restaurants do indian food,0
I would like some chinese food,9
I would like some pub food,6
Where can I find good portuguese,10
Which restaurants do thai food,1
Which restaurants do east asian food,7
Which restaurants do sushi food,2
Find me a place that does sushi,2
Which restaurants do caribbean food,3
Find me a place that does caribbean,3
Which restaurants do caribbean food,3
Where can I find good thai,1
What is the weather like today,13
Which restaurants do east european food,13
Find me a place that does indian,0
Find me a place that does pub,6
I would like some east asian food,7
Which restaurants do caribbean food,3
Where can I find good portuguese,10
Which restaurants do french food,12
What is the weather like today,13
Which restaurants do italian food,4
Find me a place that does indian,0
Which restaurants do sushi food,2
I would like some west indian food,5
Which restaurants do thai food,1
I would like some east european food,13
What is the weather like today,13
What is the weather like today,13
Which restaurants do pub food,6
Find me a place that does thai,1
What is the weather like today,13
Which restaurants do west indian food,5
Where can I find good east asian,7
Find me a place that does sushi,2
Find me a place that does thai,1
Which restaurants do pub food,6
What is the weather like today,13
Find me a place that does east european,13
Find me a place that does east asian,7
I would like some thai food,1
Where can I find good indian,0
Where can I find good indian,0
Which restaurants do bbq food,8
Find me a place that does bbq,8
Which restaurants do caribbean food,3
Where can I find good caribbean,3
Find me a place that does sushi,2
Which restaurants do spanish food,11
What is the weather like today,13
What is the weather like today,13
Find me a place that does sushi,2
Where can I find good chinese,9
Which restaurants do spanish food,11
Where can I find good spanish,11
Find me a place that does east european,13
Which restaurants do indian food,0
Find me a place that does italian,4
Find me a place that does portuguese,10
What is the weather like today,13
I would like some thai food,1
Which restaurants do french food,12
Which restaurants do chinese food,9
Which restaurants do indian food,0
Find me a place that does french,12
Where can I find good french,12
Find me a place that does french,12
Which restaurants do chinese food,9
I would like some bbq food,8
Find me a place that does spanish,11
Which restaurants do sushi food,2
Find me a place that does portuguese,10
Where can I find good west indian,5
I would like some bbq food,8
Which restaurants do indian food,0
Which restaurants do french food,12
What is the weather like today,13
Which restaurants do indian food,0
Where can I find good east asian,7
Where can I find good bbq,8
I would like some west indian food,5
I would like some spanish food,11
What is the weather like today,13
What is the weather like today,13
Where can I find good chinese,9
Which restaurants do west indian food,5
I would like some pub food,6
I would like some east asian food,7
What is the weather like today,13
What is the weather like today,13
Which restaurants do east european food,13
Find me a place that does east european,13
I would like some pub food,6
Which restaurants do east asian food,7
Which restaurants do chinese food,9
I would like some sushi food,2
I would like some portuguese food,10
Which restaurants do italian food,4
I would like some italian food,4
What is the weather like today,13
I would like some indian food,0
Which restaurants do caribbean food,3
Where can I find good chinese,9
Find me a place that does caribbean,3
I would like some caribbean food,3
I would like some chinese food,9
Where can I find good chinese,9
Which restaurants do chinese food,9
Which restaurants do pub food,6
I would like some east european food,13
Where can I find good caribbean,3
Which restaurants do italian food,4
Where can I find good chinese,9
Find me a place that does pub,6
Find me a place that does spanish,11
I would like some bbq food,8
I would like some bbq food,8
Which restaurants do indian food,0
Find me a place that does thai,1
What is the weather like today,13
I would like some east asian food,7
Which restaurants do italian food,4
Which restaurants do bbq food,8
I would like some chinese food,9
Which restaurants do indian food,0
What is the weather like today,13
What is the weather like today,13
What is the weather like today,13
Where can I find good spanish,11
Find me a place that does caribbean,3
Which restaurants do spanish food,11
What is the weather like today,13
Which restaurants do pub food,6
Find me a place that does chinese,9
Where can I find good italian,4
I would like some french food,12
Which restaurants do east asian food,7
Find me a place that does spanish,11
Where can I find good west indian,5
I would like some pub food,6
What is the weather like today,13
Where can I find good italian,4
I would like some caribbean food,3
Which restaurants do spanish food,11
I would like some east european food,13
Which restaurants do chinese food,9
I would like some indian food,0
What is the weather like today,13
Find me a place that does italian,4
Where can I find good french,12
Find me a place that does pub,6
Which restaurants do thai food,1
What is the weather like today,13
I would like some chinese food,9
Where can I find good indian,0
Which restaurants do thai food,1
Which restaurants do east asian food,7
Find me a place that does east asian,7
Which restaurants do chinese food,9
Where can I find good portuguese,10
Where can I find good east european,13
Which restaurants do east asian food,7
Where can I find good chinese,9
Which restaurants do portuguese food,10
What is the weather like today,13
Which restaurants do west indian food,5
Find me a place that does french,12
Which restaurants do east european food,13
Which restaurants do sushi food,2
Which restaurants do spanish food,11
I would like some italian food,4
Which restaurants do french food,12
Which restaurants do spanish food,11
Which restaurants do east asian food,7
Which restaurants do bbq food,8
Which restaurants do italian food,4
I would like some sushi food,2
Where can I find good west indian,5
Where can I find good caribbean,3
Find me a place that does chinese,9
Which restaurants do sushi food,2
Where can I find good spanish,11
Which restaurants do italian food,4
Which restaurants do thai food,1
What is the weather like today,13
What is the weather like today,13
Find me a place that does indian,0
What is the weather like today,13
Find me a place that does thai,1
Which restaurants do west indian food,5
Which restaurants do pub food,6
What is the weather like today,13
